[ 2015-10-01T14:58:58+08:00 ] /index.php/Login/index/ | INFO: Tag[ route_check ] --START--
[ 2015-10-01T14:58:58+08:00 ] /index.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-10-01T14:58:58+08:00 ] /index.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-10-01T14:58:58+08:00 ] /index.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-10-01T14:58:58+08:00 ] /index.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-10-01T14:58:58+08:00 ] /index.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-10-01T14:58:58+08:00 ] /index.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-10-01T14:58:58+08:00 ] /index.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-10-01T14:58:58+08:00 ] /index.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2015-10-01T14:58:58+08:00 ] /index.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2015-10-01T14:58:58+08:00 ] /index.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-10-01T14:58:58+08:00 ] /index.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-10-01T14:58:58+08:00 ] /index.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-10-01T14:58:58+08:00 ] /index.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2015-10-01T14:58:58+08:00 ] /index.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-10-01T14:58:58+08:00 ] /index.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-10-01T14:58:58+08:00 ] /index.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-10-01T14:58:58+08:00 ] /index.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-10-01T14:58:58+08:00 ] /index.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-10-01T14:58:58+08:00 ] /index.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-10-01T14:58:58+08:00 ] /index.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-10-01T14:58:58+08:00 ] /index.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-10-01T14:58:58+08:00 ] /index.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-10-01T14:58:58+08:00 ] /index.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-10-01T14:58:58+08:00 ] /index.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-10-01T14:58:58+08:00 ] /index.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-10-01T14:58:58+08:00 ] /index.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-10-01T14:58:58+08:00 ] /index.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-10-01T14:58:58+08:00 ] /index.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-10-01T14:58:58+08:00 ] /index.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-10-01T14:58:58+08:00 ] /index.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-10-01T14:58:58+08:00 ] /index.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-10-01T14:58:58+08:00 ] /index.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-10-01T14:58:58+08:00 ] /index.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-10-01T14:58:58+08:00 ] /index.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-10-01T14:58:58+08:00 ] /index.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-10-01T14:58:58+08:00 ] /index.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-10-01T14:58:58+08:00 ] /index.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-10-01T14:58:58+08:00 ] /index.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-10-01T14:58:58+08:00 ] /index.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-10-01T14:58:58+08:00 ] /index.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-10-01T14:58:58+08:00 ] /index.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-10-01T14:58:58+08:00 ] /index.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-10-01T14:58:58+08:00 ] /index.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-10-01T14:58:58+08:00 ] /index.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-10-01T14:58:58+08:00 ] /index.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-10-01T14:58:58+08:00 ] /index.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-10-01T14:58:58+08:00 ] /index.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-10-01T14:58:58+08:00 ] /index.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-10-01T14:58:58+08:00 ] /index.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-10-01T14:58:58+08:00 ] /index.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-10-01T14:58:58+08:00 ] /index.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-10-01T14:58:58+08:00 ] /index.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-10-01T14:58:58+08:00 ] /index.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-10-01T14:58:58+08:00 ] /index.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-10-01T14:58:58+08:00 ] /index.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-10-01T14:58:58+08:00 ] /index.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-10-01T14:58:58+08:00 ] /index.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-10-01T14:58:58+08:00 ] /index.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-10-01T14:58:58+08:00 ] /index.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-10-01T14:58:58+08:00 ] /index.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-10-01T14:58:58+08:00 ] /index.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-10-01T14:58:58+08:00 ] /index.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-10-01T14:58:58+08:00 ] /index.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-10-01T14:58:58+08:00 ] /index.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-10-01T14:58:58+08:00 ] /index.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-10-01T14:58:58+08:00 ] /index.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-10-01T14:58:58+08:00 ] /index.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-10-01T14:58:58+08:00 ] /index.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-10-01T14:58:58+08:00 ] /index.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-10-01T14:58:58+08:00 ] /index.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-10-01T14:58:58+08:00 ] /index.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-10-01T14:58:58+08:00 ] /index.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-10-01T14:58:58+08:00 ] /index.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-10-01T14:58:58+08:00 ] /index.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-10-01T14:58:58+08:00 ] /index.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-10-01T14:58:58+08:00 ] /index.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-10-01T14:58:58+08:00 ] /index.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-10-01T14:58:58+08:00 ] /index.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-10-01T14:58:58+08:00 ] /index.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-10-01T14:58:58+08:00 ] /index.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2015-10-01T14:58:58+08:00 ] /index.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2015-10-01T14:58:58+08:00 ] /index.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2015-10-01T14:58:58+08:00 ] /index.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2015-10-01T14:58:58+08:00 ] /index.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2015-10-01T14:58:58+08:00 ] /index.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2015-10-01T14:58:58+08:00 ] /index.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-10-01T14:58:58+08:00 ] /index.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-10-01T14:58:58+08:00 ] /index.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-10-01T14:58:58+08:00 ] /index.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 220 行.
[ 2015-10-01T14:58:58+08:00 ] /index.php/Login/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 154 行.
[ 2015-10-01T14:58:58+08:00 ] /index.php/Login/index/ | INFO: Run ParseTemplate Behavior [ RunTime:0.026591s ]
[ 2015-10-01T14:58:58+08:00 ] /index.php/Login/index/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.026655s ]
[ 2015-10-01T14:58:58+08:00 ] /index.php/Login/index/ | INFO: Tag[ view_filter ] --START--
[ 2015-10-01T14:58:58+08:00 ] /index.php/Login/index/ | INFO: Run ContentReplace Behavior [ RunTime:0.000297s ]
[ 2015-10-01T14:58:58+08:00 ] /index.php/Login/index/ | INFO: Run TokenBuild Behavior [ RunTime:0.000348s ]
[ 2015-10-01T14:58:58+08:00 ] /index.php/Login/index/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000168s ]
[ 2015-10-01T14:58:58+08:00 ] /index.php/Login/index/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000343s ]
[ 2015-10-01T14:58:58+08:00 ] /index.php/Login/index/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001284s ]
[ 2015-10-01T14:58:58+08:00 ] /index.php/Login/index/ | INFO: Tag[ view_end ] --START--
[ 2015-10-01T14:58:58+08:00 ] /index.php/Login/index/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.000358s ]
[ 2015-10-01T14:58:58+08:00 ] /index.php/Login/index/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.000404s ]
[ 2015-10-01T14:58:59+08:00 ] /index.php/Common/verify | INFO: Tag[ route_check ] --START--
[ 2015-10-01T14:58:59+08:00 ] /index.php/Common/verify | INFO: Run CheckRoute Behavior [ RunTime:0.000980s ]
[ 2015-10-01T14:58:59+08:00 ] /index.php/Common/verify | INFO: Tag[ route_check ] --END-- [ RunTime:0.001195s ]
[ 2015-10-01T14:58:59+08:00 ] /index.php/Common/verify | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2015-10-01T14:58:59+08:00 ] /index.php/Common/verify | INFO: Tag[ app_begin ] --START--
[ 2015-10-01T14:58:59+08:00 ] /index.php/Common/verify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000485s ]
[ 2015-10-01T14:58:59+08:00 ] /index.php/Common/verify | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000538s ]
[ 2015-10-01T14:59:03+08:00 ] /index.php/Index/index/username/zning1994 | INFO: Tag[ route_check ] --START--
[ 2015-10-01T14:59:03+08:00 ] /index.php/Index/index/username/zning1994 | INFO: Run CheckRoute Behavior [ RunTime:0.000541s ]
[ 2015-10-01T14:59:03+08:00 ] /index.php/Index/index/username/zning1994 | INFO: Tag[ route_check ] --END-- [ RunTime:0.000604s ]
[ 2015-10-01T14:59:03+08:00 ] /index.php/Index/index/username/zning1994 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2015-10-01T14:59:03+08:00 ] /index.php/Index/index/username/zning1994 | INFO: Tag[ app_begin ] --START--
[ 2015-10-01T14:59:03+08:00 ] /index.php/Index/index/username/zning1994 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000358s ]
[ 2015-10-01T14:59:03+08:00 ] /index.php/Index/index/username/zning1994 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000399s ]
[ 2015-10-01T14:59:03+08:00 ] /index.php/Index/index/username/zning1994 | NOTIC: [8] Undefined variable: count IndexAction.class.php 第 24 行.
[ 2015-10-01T14:59:03+08:00 ] /index.php/Index/index/username/zning1994 | NOTIC: [8] Undefined variable: news_list IndexAction.class.php 第 26 行.
[ 2015-10-01T14:59:03+08:00 ] /index.php/Index/index/username/zning1994 | NOTIC: [8] Undefined variable: show IndexAction.class.php 第 27 行.
[ 2015-10-01T14:59:03+08:00 ] /index.php/Index/index/username/zning1994 | INFO: Tag[ view_template ] --START--
[ 2015-10-01T14:59:03+08:00 ] /index.php/Index/index/username/zning1994 | INFO: Run LocationTemplate Behavior [ RunTime:0.000262s ]
[ 2015-10-01T14:59:03+08:00 ] /index.php/Index/index/username/zning1994 | INFO: Tag[ view_template ] --END-- [ RunTime:0.000306s ]
[ 2015-10-01T14:59:03+08:00 ] /index.php/Index/index/username/zning1994 | INFO: Tag[ view_parse ] --START--
[ 2015-10-01T14:59:03+08:00 ] /index.php/Index/index/username/zning1994 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2015-10-01T14:59:03+08:00 ] /index.php/Index/index/username/zning1994 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-10-01T14:59:03+08:00 ] /index.php/Index/index/username/zning1994 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-10-01T14:59:03+08:00 ] /index.php/Index/index/username/zning1994 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-10-01T14:59:03+08:00 ] /index.php/Index/index/username/zning1994 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-10-01T14:59:03+08:00 ] /index.php/Index/index/username/zning1994 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-10-01T14:59:03+08:00 ] /index.php/Index/index/username/zning1994 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-10-01T14:59:03+08:00 ] /index.php/Index/index/username/zning1994 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-10-01T14:59:03+08:00 ] /index.php/Index/index/username/zning1994 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-10-01T14:59:03+08:00 ] /index.php/Index/index/username/zning1994 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-10-01T14:59:03+08:00 ] /index.php/Index/index/username/zning1994 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2015-10-01T14:59:03+08:00 ] /index.php/Index/index/username/zning1994 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2015-10-01T14:59:03+08:00 ] /index.php/Index/index/username/zning1994 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-10-01T14:59:03+08:00 ] /index.php/Index/index/username/zning1994 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-10-01T14:59:03+08:00 ] /index.php/Index/index/username/zning1994 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-10-01T14:59:03+08:00 ] /index.php/Index/index/username/zning1994 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2015-10-01T14:59:03+08:00 ] /index.php/Index/index/username/zning1994 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-10-01T14:59:03+08:00 ] /index.php/Index/index/username/zning1994 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-10-01T14:59:03+08:00 ] /index.php/Index/index/username/zning1994 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-10-01T14:59:03+08:00 ] /index.php/Index/index/username/zning1994 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-10-01T14:59:03+08:00 ] /index.php/Index/index/username/zning1994 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-10-01T14:59:03+08:00 ] /index.php/Index/index/username/zning1994 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-10-01T14:59:03+08:00 ] /index.php/Index/index/username/zning1994 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
